Title,Job_Desc,Date_Posted,Remote Work Level,Location,Job Type,Job Schedule,Career Level,Travel Required,Categories,User-Agent
Engineering Manager,"Full-time role. Remote during the pandemic. He/she will hire and manage a technology team, develop, test, and scale consumer product features, and encourage innovation in the team. Experience as software engineer and 2+ years' management experience req.",01/05/21,Remote - During Pandemic,"San Francisco, CA",Employee,01/05/21,Manager,No specification,Software Development,Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Mobile Developer - Ionic,"In need of a mobile app developer who has experience with the Ionic framework. Qualified applicants have four or more years' software development experience with at least three years in mobile app architecture, design, &/or development. Remote position.",01/06/21,100% Remote,"US National, or Work from Anywhere",Employee,01/06/21,Experienced,No,"Software Development,iOS,Java & Android","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Senior Python Data Engineer,"Lead team-based development projects for current and emerging mobile and web applications. Requires strong Python skills, ETL & data-management knowledge, and 5+ yrs' experience. Work from home full-time with benefits.",01/06/21,100% Remote,"US National, or Work from Anywhere",Employee,01/06/21,Manager,No,"Python,Software Development,SQL",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Senior Snowflake Engineer,Fully remote opportunity available for a senior Snowflake engineer. Requires experience with Streamsets as well as Snowflake or a similar data warehouse. Experience in ETL and data pipeline development is also essential.,01/06/21,100% Remote,"US National, or Work from Anywhere",Employee,01/06/21,Manager,No,"Computer & IT,Networking,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
"Senior Staff Javascript Engineer - Full-Stack, Node, Express, React","Remote opportunity for a senior staff Javascript engineer with seven years of professional experience. Need skills in full-stack, React, Node, Express, Mongo, and SQL. Need to be able to create code and understand and deliver technical requirements. ",01/06/21,100% Remote,"US National, or Work from Anywhere",Employee,01/06/21,Manager,No,Software Development,Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Customer Support Engineer,Customer Support Engineer needed. This is a full-time job. Work from home. Reproduce and isolate various bugs. Will write quality bug reports and help engineering team to prioritize bugs. Will test products and act as customer advocate.,01/06/21,100% Remote,Philippines,Employee,01/06/21,Experienced,No specification,"Computer & IT,Technical Support,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Senior Front End Developers,"A remote senior front end developer will work part-time or full-time to create code, optimize apps and collaborate with stakeholders and team members. Experience in MVVM framework and Amazon AWS is needed. ",01/06/21,100% Remote,US National,Freelance,01/06/21,Experienced,No,"Software Development,QA & Testing",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Web Developer - Ruby on Rails,"Full-time, temporary and remote role. Candidate will handle the development and design of web applications, test and implement web sites and applications, and create documentation. Must have seven years of application development experience.",01/06/21,100% Remote,"CA, or US National",Temporary,01/06/21,Experienced,No specification,"Computer & IT,System Administration,Project Management,Software Development,Ruby on Rails,Web Design","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
"Senior Manager, Director of Information Technology","Full-time, remote senior manager will oversee the on-boarding and off-boarding process of IT equipment, manage strategic software vendor relationships, and manage user maintenance. Must have 5+ years of IT management experience.",01/06/21,100% Remote,US National,Employee,01/06/21,"Senior Level Manager (Director, Dept Head, VP, General Manager, C-level)",No specification,"Computer & IT,Computer Security,Operations,Software Development,IT Consulting","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
DevOps Engineer,"Join an engineering team and develop CI/CD pipelines, deploy web applications to an Azure platform and write code on infrastructure within Terraform. Temp-to-hire job with pay range of $60.00 - $75.00/hr.",01/06/21,Remote - During Pandemic,"Los Angeles, CA",Temporary,01/06/21,Experienced,No,"Software Development,Computer & IT","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Software Developer,"Join a developer team and focus on the backend, assist with improving B2C conversion monitoring and metrics and assist with consolidating two project history systems. Must have 2 - 3 years of relevant experience. Remote job with salary of 40k75k/yr.",01/06/21,100% Remote,"London, United Kingdom",Employee,01/06/21,Experienced,"Yes, a bit","Software Development,Computer & IT",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
.NET Developer,"Remote job available for candidate who will serve as a .NET developer. Candidate should have five years' related experience, including Oracle and PL SQL, and candidate should have the ability to work with minimal supervision. Full benefits provided.",01/06/21,100% Remote,"Herndon, VA, Washington, DC",Employee,01/06/21,Experienced,No,"Software Development,.NET","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Android Engineer,"Android Engineer needed for a full-time, remote position. The ideal candidate will have a passion for Android development, 4+ years of experience developing apps in the Andriod ecosystem, and familiarity with build tools & continuous integration.",01/06/21,100% Remote,US National,Employee,01/06/21,Experienced,No specification,"Software Development,Java & Android","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
iOS Software Engineer,"Remote job for candidate who will serve as an iOS engineer for an early-stage company. 4 years' experience developing great apps in the iOS ecosystem, 2 years' experience building apps using Swift, and familiarity with continuous integration required.",01/06/21,100% Remote,US National,Employee,01/06/21,Experienced,No,"Software Development,iOS",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Senior Software Development Engineer in Test,"Candidate will design and execute robust test automation solutions, oversee the development of test processes, and identify risks. Must have experience developing test automation. Role will work remotely until safe to return to the office.",01/06/21,Remote - During Pandemic,"San Francisco, CA",Employee,01/06/21,Manager,No specification,"Software Development,QA & Testing","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Full Stack Engineer,Engage with cross-functional teams to build product tools and features to assist teammates with better serving members. 5+ years of experience developing software within an production environment is req'd. Remote work allowed during the COVID-19 pandemic.,01/06/21,Remote - During Pandemic,"San Francisco, CA",Employee,01/06/21,Experienced,No,Software Development,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Software Engineer,"Software Engineer needed for a remote, full-time opportunity. The ideal candidate will have 5+ years of Ruby on Rails experience, a bachelor's degree or higher in Computer Science, Computer Engineering, or related field, and SQL experience.",01/06/21,100% Remote,US National,Employee,01/06/21,Experienced,No specification,Software Development,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Front-end Developer,"Build a new mobile-first platform for pre-hire assessments used by various companies, collaborate with a team to design, build, code and implement product to clients. Experience with front-end development is required. Work at home opportunity.",01/06/21,100% Remote,"Atlanta, GA",Employee,01/06/21,Experienced,No,"Software Development,Computer & IT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Software Developer - Mobile and IoT Security,"Candidate will provide engineering and developmental direction for application security designs, configure web application firewalls, and prepare security solution integration. BA/BS degree and 3 years exp. req. Temporary job; WFH during pandemic. $42/hr.",01/06/21,Remote - During Pandemic,"Overland Park, KS","Freelance, Temporary",01/06/21,Experienced,No specification,"Computer & IT,Computer Security,Software Development,Java & Android",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Principal Product Designer,"Join the Expert Use team, work with product to design and deliver experiences across internal/external platforms, and interface with cross-functional leaders to drive roadmaps and strategies for core areas. 8+ years of experience is needed. Remote job.",01/06/21,100% Remote,US National,Employee,01/06/21,Experienced,No,"Interactive Design,Visual Design,Software Development,Fashion & Beauty",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Software Engineer,Provide ongoing developmen and maintenance for the main college commerce platform & internal applications that utilize PHP and Drupal. Must have a bachelor's and 5 years of experience developing applications using PHP and Drupal. WFH to start.,01/06/21,Remote - During Pandemic,"King of Prussia, PA",Employee,01/06/21,Experienced,No specification,"Software Development,PHP,Web Design","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
WordPress Developer,"Help provide 24/7 WordPress website management, including maintenance services for serious website owners and white-label site management for agencies and freelancers. PHP, WordPress, HTML, and CSS skills needed. Part-time, flexible hours.",01/06/21,100% Remote,US National,Employee,01/06/21,Entry-Level,No,"Software Development,PHP,Web Design","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"Senior Business Operations Analyst, Customer Success","Full-time, remote candidate will build a deep understanding of the metrics that drive customer success, ensure data quality across various systems, and handle project management. Must have 1-3 years of experience using analytical frameworks. ",01/06/21,100% Remote,US National,Employee,01/06/21,Manager,No specification,"Computer & IT,Database Administration,Operations,Research,Analyst,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Developer Experience Engineer,"Assist with solving problems, discover ways to remove pain points, enable engineering teams and be proficient in troubleshooting and debugging complicated systems. Remote opportunity with salary of $101K - $161K per year. ",01/06/21,100% Remote,Work from Anywhere,Employee,01/06/21,Experienced,No,"Computer & IT,Project Management,Software Development,Python",Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Solution Manager - Senior Product Manager,"Full-time, remote position. Duties include developing, managing, & implementing a global solutions vision & roadmap, guiding global solutions development, developing & presenting business cases, and evaluating & reporting on solution success.",01/06/21,100% Remote,US National,Employee,01/06/21,"Senior Level Manager (Director, Dept Head, VP, General Manager, C-level)",No specification,"Project Management,Computer & IT,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Incident Response Analyst,"Full-time, remote position. Responsibilities include supporting the incident response lifecycle, triaging & investigating detections, identifying coverage & efficiency gaps, and providing information security reporting. Bachelor's degree required.",01/06/21,100% Remote,US National,Employee,01/06/21,Experienced,No specification,"Computer & IT,Computer Security,Analyst,Software Development",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.8) Gecko/20100101 Firefox/60.8
Senior Product Manager - Mobile,"Remote job for candidate who will define the strategy, set clear goals, and build a roadmap that helps the team realize the product vision and coordinate launch and go-to market planning. 3 years' product management experience required. $128k-$180k/year.",01/06/21,100% Remote,Work from Anywhere,Employee,01/06/21,"Senior Level Manager (Director, Dept Head, VP, General Manager, C-level)",No,"Project Management,Software Development,iOS,Java & Android",Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
"Director, New Product Development ","Remote job for candidate who will manage multiple digital product development efforts, build and lead product development teams, develop and groom features, and define the product roadmap for digital products. BS and 7 years' product management exp. req.",01/06/21,100% Remote,US National,Employee,01/06/21,"Senior Level Manager (Director, Dept Head, VP, General Manager, C-level)",No,"Computer & IT,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
Senior Software Engineer - Frontend,"Seeking a senior software engineer for a full-time, remote role with travel required. The ideal candidate must have experience leading projects or teams building scalable web applications and services. Familiarity with React and Redux required.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,"Yes, a bit","Software Development,QA & Testing,Web Design",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0
Senior Software Engineer - Full Stack ,"Full-time, remote job. Needs experience leading projects and experience with direct usage of improving legacy software applications. Take ownership in areas of expertise and will develop great user experience for new and existing features and products.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No,"Software Development,Ruby on Rails,SQL","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5 (Ergänzendes Update)) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15"
Senior Back End Developer,"Full-time, remote back end developer will develop and maintain the back-end infrastructure, partake in architecture discussions, and work with other engineers to analyze new feature requirements. Must have experience in cloud technologies.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No specification,"Software Development,Java & Android,Ruby on Rails","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Product Designer,"The remote-based product designer will lead design initiatives, help develop product roadmaps and strategies, and build solutions. Must have at least five years' relevant product design experience. A degree in design or a related area is required.",01/07/21,100% Remote,"San Francisco, CA, San Diego, CA, or US National",Employee,01/07/21,Experienced,No specification,"Visual Design,Web Design,Graphic Design,Interactive Design,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
UI-UX Designer,"Work with the design team to shape a world class digital experience. Must have strong experience working in web, product or interface design plus a strong professional portfolio demonstrating polished UI skills. Full-time, remote position.",01/07/21,100% Remote,"Australia, Belgium, Denmark, Finland, France, Greece, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom, or US National",Employee,01/07/21,Experienced,No,"Interactive Design,Graphic Design,Web Design,Software Development","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
Quality Assurance Engineer,"Design detailed, comprehensive, and well-structured test plans and test cases; identify, record, document, and track bugs. Full-time, remote position. Experience working in software or software development, particularly edtech, required. WFH.",01/07/21,100% Remote,US National,Employee,01/07/21,Experienced,No,"Software Development,QA & Testing","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
